Name,Smile,total,H,P,D
PROPANE,CCC,13.1,0,0,13.1
BUTANE,CCCC,14.1,0,0,14.1
PENTANE,CCCCC,14.4,0,0,14.4
HEXANE,CCCCCC,14.9,0,0,14.9
HEPTANE,CCCCCCC,15.2,0,0,15.2
octane,CCCCCCCC,15.4,0,0,15.4
NONANE,CCCCCCCCC,15.6,0,0,15.6
DECANE,CCCCCCCCCC,15.7,0,0,15.7
Undecane,CCCCCCCCCCC,15.8,0,0,15.8
DODECANE,CCCCCCCCCCCC,15.9,0,0,15.9
3-METHYLPENTANE,CCC(C)CC,14.67,0,0,14.67
"2,4-DIMETHYLHEXANE",CCC(C)CC(C)C,14.65,0,0,14.65
"2,2,4-Trimethylpentane",CC(C)CC(C)(C)C,14.08,0,0,14.08
CYCLOHEXANE,C1CCCCC1,16.76,0,0,16.76
benzene,C1=CC=CC=C1,18.41,2.05,1.02,18.2670523073648
toluene,CC1=CC=CC=C1,18.32,2,1.4,18.1566076126572
STYRENE,C=CC1=CC=CC=C1,19.07,4.1,1,18.5971745165764
O-XYLENE,CC1=CC=CC=C1C,18.2,3.1,1,17.9061441968951
tetralin,C1CCC2=CC=CC=C2C1,19.8,2.9,2,19.484096078597
acetone,CC(=O)C,19.95,6.95,10.43,15.5214400105145
ACETOPHENONE,CC(=O)C1=CC=CC=C1,21.73,3.68,8.59,19.6179101843188
ETHYL ACETATE,CCOC(=O)C,18.48,9.2,5.85,14.9213906858577
Butyl acetate,CCCCOC(=O)C,17.59,6.3,3.7,16.0008781009043
VINYL ACETATE,CC(=O)OC=C,18.58,5.9,7.2,16.08
METHYL METHACRYLATE,CC(=C)C(=O)OC,17.92,5.4,6.5,15.802417536567
?-Caprolactone,O=C1CCCCCO1,21.41,7.4,15,13.3651823781047
DIETHYL ETHER,CCOCC,15.66,5.11,2.86,14.5239078763258
"1,4-DIOXANE",C1COCCO1,20.47,5.11,2.86,19.glycerol
carbon dioxide,C(=O)=O,14.56,4.1,6.9,12.1479874876458
CHLOROFORM,C(Cl)(Cl)Cl,18.94,5.73,3.07,17.7894856586693
DICHLOROMETHANE,C(Cl)Cl,20.79,4.09,7.36,19.0085875330073
VINYL CHLORIDE,C=CCl,17.77,2.4,6.5,16.3634623475596
chlorobenzene,C1=CC=C(C=C1)Cl,19.61,2.05,4.3,19.0226076025344
methanol,CO,29.6,22.3,12.27,15.1101654524363
ethanol,CCO,26.13,19.43,8.8,15.093442284648
1-propanol,CCCO,24.45,17.4,6.8,15.7734745696692
1-butanol,CCCCO,23.35,15.8,5.7,16.2201263866839
1-Pentanol,CCCCCO,21.65,13.91,4.5,15.9682309602535
1-octanol,CCCCCCCCO,20.87,11.86,3.27,16.8583629098439
1-DECANOL,CCCCCCCCCCO,20.32,10,2.6,17.496925444203
phenol,C1=CC=C(C=C1)O,24.63,14.9,5.9,18.703392740356
ETHYLENE GLYCOL,C(CO)O,33.7,25.77,11.05,18.6947746710144
propylene glycol,CC(CO)O,29.52,23.32,9.41,15.4615620168209
glycerol,C(C(CO)O)O,34.12,29.25,12.07,12.7642861139979
DIETHYLAMINE,CCNCC,16.61,6.1,2.3,15.2771757861196
Butylamine,CCCCN,18.28,8,4.5,15.8084913891238
TETRAHYDROFURAN,C1CCOC1,19.46,8,5.7,16.7988571039818
formamide,C(=O)N,36.65,19,26.2,17.1983284071447
"N,N-DIMETHYLFORMAMIDE",CN(C)C=O,23.95,11.25,13.7,16.1043472391774
ACRYLONITRILE,C=CC#N,21.59,6.8,12.8,16.0015030544009
dimethyl sulfoxide,CS(=O)C,26.75,10.2,16.4,18.5084440188796
acetic acid,CC(=O)O,21.35,13.52,7.98,14.4689909807146
ACRYLIC ACID,C=CC(=O)O,24.01,14.9,6.4,17.7062164224885
propionic acid,CCC(=O)O,19.95,12.4,5.3,14.7021256966467
butyric acid,CCCC(=O)O,20.2,10.6,4.1,16.6994011868689
METHACRYLIC ACID,CC(=C)C(=O)O,21,10.2,2.8,18.1416647527177
octanoic acid,CCCCCCCC(=O)O,22.24,8.2,3.3,20.4080278322037
oleicacid,CCCCCCCC/C=C\CCCCCCCC(=O)O,17.38,5.5,3.1,16.1927267623461
stearic acid,CCCCCCCCCCCCCCCCCC(=O)O,19.04,5.5,3.3,17.927119121599
