,Name,Smile,total,H,P,D
10,3-METHYLPENTANE,CCC(C)CC,14.67,0.0,0.0,14.67
11,"2,4-DIMETHYLHEXANE",CCC(C)CC(C)C,14.65,0.0,0.0,14.65
14,benzene,C1=CC=CC=C1,18.41,2.05,1.02,18.2670523073648
15,toluene,CC1=CC=CC=C1,18.32,2.0,1.4,18.1566076126572
16,STYRENE,C=CC1=CC=CC=C1,19.07,4.1,1.0,18.5971745165764
17,O-XYLENE,CC1=CC=CC=C1C,18.2,3.1,1.0,17.9061441968951
18,tetralin,C1CCC2=CC=CC=C2C1,19.8,2.9,2.0,19.484096078597
19,acetone,CC(=O)C,19.95,6.95,10.43,15.5214400105145
20,ACETOPHENONE,CC(=O)C1=CC=CC=C1,21.73,3.68,8.59,19.6179101843188
21,ETHYL ACETATE,CCOC(=O)C,18.48,9.2,5.85,14.9213906858577
22,Butyl acetate,CCCCOC(=O)C,17.59,6.3,3.7,16.0008781009043
24,METHYL METHACRYLATE,CC(=C)C(=O)OC,17.92,5.4,6.5,15.802417536567
28,carbon dioxide,C(=O)=O,14.56,4.1,6.9,12.1479874876458
29,CHLOROFORM,C(Cl)(Cl)Cl,18.94,5.73,3.07,17.7894856586693
30,DICHLOROMETHANE,C(Cl)Cl,20.79,4.09,7.36,19.0085875330073
31,VINYL CHLORIDE,C=CCl,17.77,2.4,6.5,16.3634623475596
32,chlorobenzene,C1=CC=C(C=C1)Cl,19.61,2.05,4.3,19.0226076025344
40,phenol,C1=CC=C(C=C1)O,24.63,14.9,5.9,18.703392740356
41,ETHYLENE GLYCOL,C(CO)O,33.7,25.77,11.05,18.6947746710144
42,propylene glycol,CC(CO)O,29.52,23.32,9.41,15.4615620168209
43,glycerol,C(C(CO)O)O,34.12,29.25,12.07,12.7642861139979
47,formamide,C(=O)N,36.65,19.0,26.2,17.1983284071447
50,dimethyl sulfoxide,CS(=O)C,26.75,10.2,16.4,18.5084440188796
51,acetic acid,CC(=O)O,21.35,13.52,7.98,14.4689909807146
52,ACRYLIC ACID,C=CC(=O)O,24.01,14.9,6.4,17.7062164224885
53,propionic acid,CCC(=O)O,19.95,12.4,5.3,14.7021256966467
54,butyric acid,CCCC(=O)O,20.2,10.6,4.1,16.6994011868689
55,METHACRYLIC ACID,CC(=C)C(=O)O,21.0,10.2,2.8,18.1416647527177
56,octanoic acid,CCCCCCCC(=O)O,22.24,8.2,3.3,20.4080278322037
57,oleicacid,CCCCCCCC/C=C\CCCCCCCC(=O)O,17.38,5.5,3.1,16.1927267623461
58,stearic acid,CCCCCCCCCCCCCCCCCC(=O)O,19.04,5.5,3.3,17.927119121599
