Name,predicted solubility (cal/cc)1/2,average experimental value (cal/cc)1/2
"1,3- butadien",8.01479954016847,7.1
"1,3-BUTANEDIOL",12.77895908857,14.14
1-Chlorobutane,8.88687221189066,8.44
1-Pentanol,9.86479322471892,10.6
2-Ethyl-1-hexanol,9.18786091384807,9.85
2-Ethylhexyl acrylate,8.15963609820928,8.64
Acetic acid,12.2793035842157,10.35
Acetone,9.45028435667416,9.77
Acetonitrile,10.2080569941873,11.92
Acrylic acid,12.1280966601371,12.3
Benzene,9.91817124533208,9.15
Chlorobenzene,10.4630245378757,9.57
Cyclohexane,8.91107012914376,8.18
Cyclohexanol,10.6125184496038,9.88
Cyclohexanone,10.1588542337989,10.16
Di-ethyl amine,8.41879812370246,7.96
Diethyl ether,8.79391085466796,7.62
Diethyl phthalate,10.1048529509012,9.55
Di-isobutyl-ketone,8.08609924066713,8.17
Dimethyl sulfoxide,10.8855221616514,14.5
Dimethylacetamide,10.1240709463492,10.8
Dimethylformamide,10.5855707855534,11.95
Di-propyl amine,10.5062873339669,7.79
Ethanol,11.2996587554199,12.92
Ethyl acrylate,9.8727989001987,8.6
Ethyl benzene,9.40280671773228,8.8
Ethyl chloride,9.27481845856654,8.85
Ethyl methacrylate,9.51091191062312,8.35
Ethylene carbonate,12.0045225830102,14.6
Formic-acid,15.6741902761391,12.15
Furfuryl alcohol,12.7756241685212,12.5
gamma-Butyrolactone,11.2925388177182,12.74
Glycerol,15.4139750379042,15.5
Hexane,7.85520625184756,7.24
Maleic anhydride,12.2191482971586,13.6
Malononitrile,11.9048226377811,15.1
Methacrylic acid,11.5229797651703,11.2
Methanol,12.0903056692541,14.3
Methyl formamide,14.586438607545,15.75
Methyl methacrylate,9.77389126084474,8.91
Methyl-ethyl-ketone,9.34620832525724,9.27
Methyl-isobutyl-ketone,9.06974884152062,8.57
"N,N-Dimethylacrylamide",10.2353696867857,10.8
n-Butanol,10.1635284908854,11.3
n-Butyl acrylate,9.09425796900456,8.68
n-Butyl methacrylate,8.71312801182785,8.2
Neopentane,7.51109824007527,6.3
N-Methylpyrrolidinone,11.2480425560397,11.3
n-Propanol,10.6383915208764,11.97
o-Dichlorobenzene,10.7813443660988,9.98
Propiolactone,11.597921687324,13.3
Propionic acid,11.5532070731469,10.16
Propionitrile,10.0680675602726,10.73
Propylene carbonate,11.1957997422511,13.3
Styrene,9.3694307815539,9.3
Succinic anhydride,12.0830969048739,15.4
Tetrahydrofuran,9.99175819790647,9.1
Tetrahydronaphthalene,10.0099107098127,9.6
Toluene,9.66734539057719,8.94
y-Butyrolactone,11.2925388177182,12.79
