,Name,Smile,total,H,P,D,D predicted,P predicted,H predicted,PRED SOLUBILITY^2,PRED SOLUBILITY
0,3-METHYLPENTANE,CCC(C)CC,14.67,0.0,0.0,14.67,14.505937,0.29295063,0.9866568,211.4815,14.542404
1,"2,4-DIMETHYLHEXANE",CCC(C)CC(C)C,14.65,0.0,0.0,14.65,14.909762,0.5916518,1.4961181,224.88943,14.996314
2,benzene,C1=CC=CC=C1,18.41,2.05,1.02,18.2670523073648,18.129904,0.51604414,2.0985408,333.3636,18.258247
3,toluene,CC1=CC=CC=C1,18.32,2.0,1.4,18.1566076126572,18.231936,1.1515216,2.567746,340.32278,18.44784
4,STYRENE,C=CC1=CC=CC=C1,19.07,4.1,1.0,18.5971745165764,18.532015,2.1763067,3.9756236,363.97745,19.078194
5,O-XYLENE,CC1=CC=CC=C1C,18.2,3.1,1.0,17.9061441968951,18.547657,1.2127364,1.7542813,348.56384,18.669865
6,tetralin,C1CCC2=CC=CC=C2C1,19.8,2.9,2.0,19.484096078597,19.045704,1.9118071,1.3991936,368.35156,19.192488
7,acetone,CC(=O)C,19.95,6.95,10.43,15.5214400105145,15.231683,10.443392,6.90116,388.6946,19.71534
8,ACETOPHENONE,CC(=O)C1=CC=CC=C1,21.73,3.68,8.59,19.6179101843188,19.232456,9.318963,3.8547027,471.58917,21.716105
9,ETHYL ACETATE,CCOC(=O)C,18.48,9.2,5.85,14.9213906858577,15.465157,4.9433827,7.07535,313.66867,17.710693
10,Butyl acetate,CCCCOC(=O)C,17.59,6.3,3.7,16.0008781009043,15.613066,3.5075622,6.16277,294.05054,17.147902
11,METHYL METHACRYLATE,CC(=C)C(=O)OC,17.92,5.4,6.5,15.802417536567,15.465934,6.872758,5.2888207,314.40155,17.731373
12,carbon dioxide,C(=O)=O,14.56,4.1,6.9,12.1479874876458,15.575514,6.1227617,5.5550337,310.94324,17.633583
13,CHLOROFORM,C(Cl)(Cl)Cl,18.94,5.73,3.07,17.7894856586693,17.621325,3.201232,5.709024,353.35193,18.797657
14,DICHLOROMETHANE,C(Cl)Cl,20.79,4.09,7.36,19.0085875330073,16.903341,7.3956733,6.9656806,388.93964,19.721552
15,VINYL CHLORIDE,C=CCl,17.77,2.4,6.5,16.3634623475596,15.671716,6.674369,2.4707494,296.2545,17.212046
16,chlorobenzene,C1=CC=C(C=C1)Cl,19.61,2.05,4.3,19.0226076025344,19.0321,4.3277793,2.014075,385.00702,19.621595
17,phenol,C1=CC=C(C=C1)O,24.63,14.9,5.9,18.703392740356,18.82258,8.612967,14.795978,647.3936,25.443932
18,ETHYLENE GLYCOL,C(CO)O,33.7,25.77,11.05,18.6947746710144,17.106157,12.657922,26.56872,1158.7405,34.040276
19,propylene glycol,CC(CO)O,29.52,23.32,9.41,15.4615620168209,16.748701,10.831024,21.309156,851.9102,29.187502
20,glycerol,C(C(CO)O)O,34.12,29.25,12.07,12.7642861139979,17.475657,12.084465,27.422245,1203.4124,34.690235
21,formamide,C(=O)N,36.65,19.0,26.2,17.1983284071447,17.131882,25.64665,18.935154,1309.7921,36.19105
22,dimethyl sulfoxide,CS(=O)C,26.75,10.2,16.4,18.5084440188796,18.331923,16.652342,10.159507,716.57544,26.768927
23,acetic acid,CC(=O)O,21.35,13.52,7.98,14.4689909807146,14.472951,8.448221,13.639979,466.8878,21.607586
24,ACRYLIC ACID,C=CC(=O)O,24.01,14.9,6.4,17.7062164224885,16.15242,6.7608733,9.907021,404.75912,20.118626
25,propionic acid,CCC(=O)O,19.95,12.4,5.3,14.7021256966467,15.795222,5.5318727,12.461034,435.36804,20.865475
26,butyric acid,CCCC(=O)O,20.2,10.6,4.1,16.6994011868689,16.130816,4.759914,12.034796,427.6963,20.680819
27,METHACRYLIC ACID,CC(=C)C(=O)O,21.0,10.2,2.8,18.1416647527177,16.009073,5.116977,11.36344,411.60168,20.28797
28,octanoic acid,CCCCCCCC(=O)O,22.24,8.2,3.3,20.4080278322037,16.092237,3.4011168,8.204218,337.83688,18.380339
29,oleicacid,CCCCCCCC/C=C\CCCCCCCC(=O)O,17.38,5.5,3.1,16.1927267623461,16.072441,3.0097604,6.3240595,307.37573,17.532135
30,stearic acid,CCCCCCCCCCCCCCCCCC(=O)O,19.04,5.5,3.3,17.927119121599,15.938862,3.245904,5.446017,294.2423,17.153492
