,Name,Smile,total,H,P,D,D predicted,P predicted,H predicted,PREDICTED SOL^2,PREDICTED SOL
0,3-METHYLPENTANE,CCC(C)CC,14.67,0.0,0.0,14.67,14.236788,0.5,1.8625922,206.40538,14.366816
1,"2,4-DIMETHYLHEXANE",CCC(C)CC(C)C,14.65,0.0,0.0,14.65,14.382416,0.63481617,0.9842493,208.22562,14.430025
2,benzene,C1=CC=CC=C1,18.41,2.05,1.02,18.2670523073648,18.527655,0.9443315,1.8586777,347.62042,18.64458
3,toluene,CC1=CC=CC=C1,18.32,2.0,1.4,18.1566076126572,17.994112,1.1005499,2.7705479,332.6752,18.239386
4,STYRENE,C=CC1=CC=CC=C1,19.07,4.1,1.0,18.5971745165764,18.85167,1.0825747,3.2695916,367.24762,19.163706
5,O-XYLENE,CC1=CC=CC=C1C,18.2,3.1,1.0,17.9061441968951,17.933474,1.2753251,2.7012422,330.53265,18.180557
6,tetralin,C1CCC2=CC=CC=C2C1,19.8,2.9,2.0,19.484096078597,18.961147,1.6970301,1.0293765,363.46463,19.064749
7,acetone,CC(=O)C,19.95,6.95,10.43,15.5214400105145,15.481897,10.467478,5.78583,382.73306,19.563564
8,ACETOPHENONE,CC(=O)C1=CC=CC=C1,21.73,3.68,8.59,19.6179101843188,19.111155,10.29498,4.5486584,491.91315,22.179115
9,ETHYL ACETATE,CCOC(=O)C,18.48,9.2,5.85,14.9213906858577,15.657939,5.7179613,7.3123393,331.33643,18.202648
10,Butyl acetate,CCCCOC(=O)C,17.59,6.3,3.7,16.0008781009043,15.562782,4.351626,6.441671,302.63196,17.39632
11,METHYL METHACRYLATE,CC(=C)C(=O)OC,17.92,5.4,6.5,15.802417536567,15.710545,6.7417393,7.491889,348.40067,18.665495
15,VINYL CHLORIDE,C=CCl,17.77,2.4,6.5,16.3634623475596,16.181343,7.190898,3.583354,326.3853,18.066137
16,chlorobenzene,C1=CC=C(C=C1)Cl,19.61,2.05,4.3,19.0226076025344,19.122616,5.825164,3.2348332,410.0711,20.250212
17,phenol,C1=CC=C(C=C1)O,24.63,14.9,5.9,18.703392740356,19.380869,6.9154706,13.976938,618.79663,24.875624
18,ETHYLENE GLYCOL,C(CO)O,33.7,25.77,11.05,18.6947746710144,16.403086,11.026055,28.638783,1210.815,34.796764
19,propylene glycol,CC(CO)O,29.52,23.32,9.41,15.4615620168209,16.257223,9.684274,21.672287,827.7705,28.771002
20,glycerol,C(C(CO)O)O,34.12,29.25,12.07,12.7642861139979,17.275892,11.656226,28.992542,1274.8916,35.705624
21,formamide,C(=O)N,36.65,19.0,26.2,17.1983284071447,15.713243,16.1889,16.594223,784.3547,28.006332
22,dimethyl sulfoxide,CS(=O)C,26.75,10.2,16.4,18.5084440188796,15.725895,11.613109,8.35392,451.95605,21.259258
23,acetic acid,CC(=O)O,21.35,13.52,7.98,14.4689909807146,15.358447,9.90042,23.988178,909.3329,30.155148
24,ACRYLIC ACID,C=CC(=O)O,24.01,14.9,6.4,17.7062164224885,16.439789,7.439268,12.406708,479.53577,21.898306
25,propionic acid,CCC(=O)O,19.95,12.4,5.3,14.7021256966467,15.43739,6.4054146,13.391299,458.66925,21.416565
26,butyric acid,CCCC(=O)O,20.2,10.6,4.1,16.6994011868689,16.051207,5.5146756,11.985595,431.70737,20.777569
27,METHACRYLIC ACID,CC(=C)C(=O)O,21.0,10.2,2.8,18.1416647527177,16.17166,7.0127096,11.844543,450.9939,21.236616
28,octanoic acid,CCCCCCCC(=O)O,22.24,8.2,3.3,20.4080278322037,16.076815,4.4893956,9.399945,366.9776,19.15666
29,oleicacid,CCCCCCCC/C=C\CCCCCCCC(=O)O,17.38,5.5,3.1,16.1927267623461,16.07045,3.1487622,6.770919,314.0194,17.720592
30,stearic acid,CCCCCCCCCCCCCCCCCC(=O)O,19.04,5.5,3.3,17.927119121599,16.311565,2.905994,6.620808,318.34708,17.842283
